customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00028,Female,0,No,Yes,35,Yes,DSL,Month-to-month,Electronic check,24.41,854.35,No
CUST00029,Female,0,No,Yes,19,Yes,Fiber optic,Two year,Mailed check,74.56,1416.64,Yes
CUST00030,Male,1,Yes,Yes,31,No,DSL,Month-to-month,Mailed check,86.69,2687.39,No
CUST00031,Male,0,No,Yes,42,No,DSL,Month-to-month,Credit card,98.24,4126.08,No
CUST00032,Male,1,No,Yes,28,No,Fiber optic,Two year,Bank transfer,39.96,1118.88,No
CUST00033,Female,1,No,Yes,8,Yes,No,Month-to-month,Bank transfer,116.69,933.52,Yes
CUST00034,Male,1,No,Yes,4,No,DSL,Month-to-month,Credit card,30.84,123.36,No
CUST00035,Female,0,No,No,0,No,No,Two year,Electronic check,71.99,71.99,Yes
CUST00036,Male,1,No,No,38,No,No,One year,Credit card,70.71,2686.98,No
CUST00037,Female,0,No,No,22,No,Fiber optic,Month-to-month,Credit card,81.55,1794.1,No
CUST00038,Female,0,Yes,No,27,Yes,DSL,One year,Bank transfer,71.12,1920.24,No
CUST00039,Male,0,Yes,No,28,No,Fiber optic,Month-to-month,Mailed check,100.66,2818.48,No
CUST00040,Female,0,Yes,No,49,Yes,No,Month-to-month,Mailed check,69.44,3402.56,No
CUST00041,Female,1,No,No,15,Yes,No,Two year,Credit card,65.65,984.75,No
CUST00042,Male,1,No,Yes,57,No,DSL,Month-to-month,Bank transfer,45.92,2617.44,No
CUST00043,Male,0,Yes,Yes,42,Yes,DSL,Month-to-month,Credit card,51.97,2182.74,No
CUST00044,Male,0,Yes,No,52,No,Fiber optic,Month-to-month,Electronic check,53.09,2760.68,No
CUST00045,Female,1,Yes,No,45,No,DSL,Month-to-month,Credit card,49.86,2243.7,No
CUST00046,Male,0,No,Yes,43,No,No,One year,Electronic check,86.89,3736.27,No
CUST00047,Female,1,Yes,Yes,10,Yes,Fiber optic,Month-to-month,Bank transfer,84.27,842.7,Yes
CUST00048,Male,1,No,Yes,43,No,DSL,Month-to-month,Electronic check,96.12,4133.16,No
CUST00049,Female,0,Yes,Yes,5,Yes,No,Two year,Mailed check,95.42,477.1,No
CUST00050,Male,0,Yes,Yes,59,Yes,Fiber optic,One year,Credit card,89.95,5307.05,No
CUST00051,Male,0,Yes,No,50,Yes,Fiber optic,Month-to-month,Credit card,114.15,5707.5,No
CUST00052,Female,0,No,No,47,No,No,One year,Mailed check,26.9,1264.3,Yes
CUST00053,Female,1,No,No,55,No,DSL,Month-to-month,Electronic check,37.61,2068.55,No
CUST00054,Female,1,No,No,35,Yes,Fiber optic,Month-to-month,Mailed check,108.16,3785.6,Yes
CUST00055,Female,1,Yes,Yes,45,No,No,Month-to-month,Mailed check,99.78,4490.1,Yes
CUST00056,Male,0,Yes,No,60,No,No,Month-to-month,Bank transfer,84.59,5075.4,No
CUST00057,Female,1,No,No,60,Yes,DSL,Month-to-month,Mailed check,75.35,4521.0,No
CUST00058,Female,0,Yes,Yes,40,No,DSL,Month-to-month,Mailed check,31.96,1278.4,No
CUST00059,Male,0,Yes,No,37,No,No,Month-to-month,Mailed check,42.75,1581.75,Yes
CUST00060,Male,1,No,No,62,Yes,Fiber optic,Month-to-month,Credit card,30.26,1876.12,No
CUST00061,Female,0,Yes,Yes,14,Yes,DSL,Month-to-month,Electronic check,102.21,1430.94,Yes
CUST00062,Female,0,No,No,71,No,Fiber optic,One year,Electronic check,96.44,6847.24,No
CUST00063,Male,0,No,Yes,12,Yes,DSL,Month-to-month,Electronic check,114.76,1377.12,Yes
CUST00064,Female,1,Yes,Yes,52,No,DSL,Month-to-month,Mailed check,65.05,3382.6,No
CUST00065,Male,0,No,Yes,33,No,DSL,One year,Electronic check,98.78,3259.74,No
CUST00066,Female,1,No,Yes,7,No,Fiber optic,Month-to-month,Credit card,36.59,256.13,No
CUST00067,Male,1,No,No,56,Yes,No,Month-to-month,Bank transfer,28.04,1570.24,Yes
CUST00068,Female,1,No,Yes,5,Yes,Fiber optic,Month-to-month,Bank transfer,96.31,481.55,No
CUST00069,Female,0,No,No,52,No,No,One year,Electronic check,53.33,2773.16,No
CUST00070,Female,0,No,Yes,58,No,DSL,Month-to-month,Mailed check,28.81,1670.98,No
CUST00071,Male,1,Yes,Yes,66,No,Fiber optic,One year,Credit card,56.18,3707.88,No
CUST00072,Female,0,Yes,No,15,Yes,DSL,One year,Electronic check,22.89,343.35,No
CUST00073,Female,0,No,No,59,No,Fiber optic,One year,Credit card,114.71,6767.89,No
CUST00074,Female,0,Yes,Yes,31,No,No,Month-to-month,Bank transfer,65.68,2036.08,No
CUST00075,Female,1,Yes,No,0,No,No,Month-to-month,Credit card,48.28,48.28,No
CUST00076,Female,0,No,Yes,58,Yes,Fiber optic,Two year,Credit card,113.29,6570.82,No
CUST00077,Female,0,No,Yes,48,Yes,Fiber optic,One year,Electronic check,58.61,2813.28,No
CUST00078,Female,0,No,Yes,67,No,No,Month-to-month,Credit card,111.04,7439.68,Yes
CUST00079,Male,1,No,No,10,Yes,DSL,Two year,Bank transfer,105.18,1051.8,No
CUST00080,Female,0,Yes,No,29,Yes,DSL,Month-to-month,Bank transfer,94.68,2745.72,No
CUST00081,Male,0,Yes,No,7,Yes,DSL,Month-to-month,Electronic check,49.34,345.38,No
CUST00082,Female,0,Yes,No,48,No,No,Month-to-month,Electronic check,81.97,3934.56,No
CUST00083,Female,0,Yes,No,59,No,No,One year,Bank transfer,110.12,6497.08,No
CUST00084,Female,1,No,Yes,58,No,No,Month-to-month,Bank transfer,104.53,6062.74,No
CUST00085,Female,1,Yes,Yes,2,No,DSL,One year,Bank transfer,117.79,235.58,No
CUST00086,Female,0,Yes,Yes,28,Yes,No,One year,Bank transfer,83.66,2342.48,No
CUST00087,Female,1,Yes,Yes,16,No,DSL,Month-to-month,Bank transfer,29.01,464.16,No
CUST00088,Male,1,Yes,No,61,Yes,No,Month-to-month,Credit card,116.74,7121.14,No
CUST00089,Female,0,No,Yes,71,No,No,One year,Bank transfer,56.58,4017.18,No
CUST00090,Female,1,Yes,Yes,13,No,No,Month-to-month,Credit card,87.48,1137.24,Yes
CUST00091,Male,1,No,Yes,14,No,Fiber optic,Two year,Bank transfer,33.98,475.72,Yes
CUST00092,Female,0,No,Yes,69,No,DSL,One year,Bank transfer,61.91,4271.79,No
CUST00093,Female,1,Yes,No,27,Yes,Fiber optic,Two year,Bank transfer,64.34,1737.18,No
CUST00094,Male,1,Yes,Yes,24,Yes,Fiber optic,Two year,Mailed check,116.82,2803.68,No
CUST00095,Male,0,Yes,Yes,16,Yes,Fiber optic,Month-to-month,Mailed check,98.7,1579.2,Yes
CUST00096,Male,0,Yes,Yes,16,No,DSL,One year,Mailed check,74.02,1184.32,Yes
CUST00097,Female,0,Yes,No,33,Yes,Fiber optic,One year,Mailed check,25.24,832.92,No
CUST00098,Female,1,No,Yes,5,No,Fiber optic,Two year,Electronic check,92.72,463.6,Yes
CUST00099,Female,0,No,Yes,62,No,Fiber optic,Month-to-month,Bank transfer,91.24,5656.88,Yes
CUST00100,Male,0,Yes,No,58,No,Fiber optic,Month-to-month,Credit card,70.56,4092.48,No
CUST00101,Male,1,No,No,51,No,DSL,Month-to-month,Electronic check,61.6,3141.6,No
CUST00102,Female,1,Yes,Yes,10,Yes,Fiber optic,Month-to-month,Bank transfer,29.32,293.2,No
CUST00103,Male,1,No,No,54,Yes,No,One year,Credit card,106.81,5767.74,Yes
CUST00104,Female,1,Yes,No,28,Yes,No,Month-to-month,Bank transfer,104.73,2932.44,No
CUST00105,Male,1,No,No,3,No,DSL,One year,Mailed check,38.04,114.12,Yes
CUST00106,Female,1,No,No,3,No,No,Month-to-month,Bank transfer,29.18,87.54,No
CUST00107,Female,0,Yes,Yes,72,No,No,Two year,Credit card,79.62,5732.64,No
CUST00108,Female,0,Yes,No,62,No,No,Month-to-month,Bank transfer,80.71,5004.02,No
CUST00109,Male,0,Yes,Yes,5,Yes,Fiber optic,Two year,Bank transfer,42.05,210.25,No
CUST00110,Male,1,Yes,Yes,41,No,DSL,Month-to-month,Credit card,32.0,1312.0,No
CUST00111,Female,0,No,No,5,No,DSL,Month-to-month,Credit card,63.62,318.1,No
CUST00112,Male,1,No,Yes,2,Yes,Fiber optic,Month-to-month,Credit card,116.62,233.24,Yes
CUST00113,Male,1,Yes,No,67,Yes,No,Two year,Mailed check,27.86,1866.62,No
CUST00114,Male,0,Yes,Yes,44,Yes,No,Two year,Mailed check,55.11,2424.84,No
CUST00115,Female,1,No,No,9,No,DSL,One year,Credit card,37.71,339.39,No
CUST00116,Female,1,Yes,No,8,No,Fiber optic,One year,Electronic check,66.89,535.12,No
CUST00117,Male,0,No,No,7,No,No,Month-to-month,Mailed check,56.87,398.09,No
CUST00118,Female,0,No,Yes,41,Yes,No,Month-to-month,Mailed check,80.5,3300.5,No
CUST00119,Female,1,Yes,No,5,No,Fiber optic,Month-to-month,Bank transfer,44.77,223.85,No
CUST00120,Female,0,No,Yes,6,No,Fiber optic,One year,Mailed check,98.92,593.52,No
CUST00121,Male,1,No,No,42,No,No,One year,Credit card,28.15,1182.3,No
CUST00122,Female,0,No,No,42,Yes,DSL,One year,Bank transfer,101.32,4255.44,Yes
CUST00123,Male,0,Yes,No,62,Yes,No,Two year,Bank transfer,39.2,2430.4,No
CUST00124,Female,0,Yes,No,16,Yes,Fiber optic,Month-to-month,Bank transfer,79.72,1275.52,Yes
CUST00125,Female,1,Yes,No,57,No,Fiber optic,Month-to-month,Credit card,43.4,2473.8,No
CUST00126,Female,0,Yes,No,64,No,No,Two year,Electronic check,72.75,4656.0,Yes
CUST00127,Male,0,No,No,66,No,DSL,Month-to-month,Mailed check,105.12,6937.92,No
CUST00128,Male,1,Yes,No,57,No,DSL,Two year,Bank transfer,108.46,6182.22,No
CUST00129,Female,1,Yes,Yes,28,Yes,No,Two year,Credit card,22.82,638.96,Yes
CUST00130,Female,0,No,Yes,57,Yes,Fiber optic,Two year,Mailed check,81.53,4647.21,No
CUST00131,Female,1,Yes,Yes,38,Yes,No,Month-to-month,Mailed check,32.18,1222.84,No
CUST00132,Male,1,Yes,No,18,No,DSL,Month-to-month,Electronic check,49.13,884.34,No
CUST00133,Female,1,No,No,49,Yes,Fiber optic,Month-to-month,Mailed check,107.33,5259.17,No
CUST00134,Female,1,Yes,Yes,13,Yes,No,One year,Credit card,97.15,1262.95,No
CUST00135,Male,0,No,Yes,61,Yes,DSL,Two year,Bank transfer,83.17,5073.37,No
CUST00136,Male,1,No,Yes,39,No,Fiber optic,Two year,Electronic check,71.54,2790.06,No
CUST00137,Female,1,No,No,42,No,DSL,One year,Credit card,47.32,1987.44,No
CUST00138,Male,1,Yes,No,63,No,Fiber optic,One year,Electronic check,56.73,3573.99,Yes
CUST00139,Female,1,No,Yes,10,No,DSL,Month-to-month,Bank transfer,52.79,527.9,No
CUST00140,Male,0,Yes,No,55,Yes,DSL,Two year,Credit card,47.46,2610.3,No
CUST00141,Male,1,No,No,4,Yes,No,Month-to-month,Credit card,32.62,130.48,No
CUST00142,Female,0,No,No,47,Yes,DSL,One year,Electronic check,57.2,2688.4,No
CUST00143,Male,0,No,No,23,No,No,Month-to-month,Credit card,69.9,1607.7,No
CUST00144,Female,1,Yes,No,25,No,No,Two year,Electronic check,32.26,806.5,No
CUST00145,Male,0,Yes,No,70,Yes,DSL,Two year,Mailed check,74.22,5195.4,No
CUST00146,Male,1,No,Yes,63,Yes,Fiber optic,Month-to-month,Credit card,22.63,1425.69,No
CUST00147,Female,0,Yes,No,61,No,No,One year,Bank transfer,72.57,4426.77,No
CUST00148,Male,0,Yes,No,16,Yes,No,One year,Mailed check,107.8,1724.8,No
CUST00149,Female,0,No,No,38,Yes,No,Month-to-month,Bank transfer,36.47,1385.86,No
CUST00150,Female,0,Yes,Yes,16,Yes,DSL,One year,Electronic check,82.5,1320.0,No
CUST00151,Male,1,Yes,No,5,No,No,One year,Bank transfer,114.85,574.25,No
CUST00152,Male,1,No,No,38,Yes,Fiber optic,Two year,Credit card,68.29,2595.02,Yes
CUST00153,Female,0,No,No,61,No,DSL,Month-to-month,Bank transfer,66.44,4052.84,No
CUST00154,Male,1,Yes,No,65,Yes,DSL,Month-to-month,Bank transfer,76.17,4951.05,No
CUST00155,Male,0,No,No,49,No,No,Month-to-month,Credit card,106.42,5214.58,No
CUST00156,Male,0,No,No,63,No,DSL,Month-to-month,Electronic check,107.91,6798.33,No
CUST00157,Female,1,No,Yes,36,Yes,Fiber optic,Two year,Bank transfer,69.49,2501.64,No
CUST00158,Female,0,No,No,51,No,No,Month-to-month,Electronic check,56.59,2886.09,Yes
CUST00159,Female,1,No,Yes,16,Yes,DSL,Month-to-month,Electronic check,117.51,1880.16,Yes
CUST00160,Female,1,Yes,Yes,17,Yes,Fiber optic,Two year,Bank transfer,91.36,1553.12,No
CUST00161,Female,1,No,No,43,No,No,Month-to-month,Electronic check,70.73,3041.39,No
CUST00162,Male,0,No,No,53,Yes,No,One year,Credit card,78.37,4153.61,No
CUST00163,Male,1,Yes,Yes,21,Yes,DSL,One year,Credit card,72.42,1520.82,Yes
CUST00164,Male,0,No,No,40,Yes,No,Month-to-month,Mailed check,61.88,2475.2,No
CUST00165,Female,1,No,Yes,71,No,No,One year,Bank transfer,52.5,3727.5,No
CUST00166,Male,1,Yes,No,61,No,Fiber optic,Month-to-month,Credit card,39.23,2393.03,No
CUST00167,Female,1,No,Yes,44,No,Fiber optic,Two year,Mailed check,76.05,3346.2,No
CUST00168,Female,0,No,No,37,Yes,DSL,Two year,Bank transfer,24.21,895.77,No
CUST00169,Male,0,Yes,Yes,71,Yes,DSL,Month-to-month,Electronic check,89.62,6363.02,No
CUST00170,Female,0,Yes,Yes,52,No,No,Month-to-month,Mailed check,53.03,2757.56,No
CUST00171,Male,0,Yes,Yes,36,No,DSL,One year,Electronic check,52.12,1876.32,No
CUST00172,Male,1,Yes,Yes,50,No,Fiber optic,Month-to-month,Credit card,98.8,4940.0,No
CUST00173,Male,0,No,No,69,No,DSL,Two year,Credit card,72.43,4997.67,No
CUST00174,Female,1,No,Yes,32,No,No,Month-to-month,Bank transfer,91.86,2939.52,No
CUST00175,Male,0,No,No,11,No,Fiber optic,Month-to-month,Mailed check,60.08,660.88,No
CUST00176,Male,1,Yes,No,57,Yes,No,Two year,Electronic check,95.38,5436.66,No
CUST00177,Male,1,Yes,No,59,Yes,DSL,Month-to-month,Credit card,50.68,2990.12,No
CUST00178,Male,1,No,No,19,Yes,No,Two year,Electronic check,65.5,1244.5,No
CUST00179,Male,0,Yes,Yes,67,Yes,DSL,One year,Bank transfer,64.67,4332.89,No
CUST00180,Female,1,Yes,No,66,Yes,No,One year,Credit card,64.18,4235.88,No
CUST00181,Male,1,Yes,No,58,Yes,No,Month-to-month,Electronic check,76.39,4430.62,No
CUST00182,Female,0,Yes,No,5,Yes,DSL,One year,Credit card,62.37,311.85,Yes
CUST00183,Male,1,No,Yes,47,No,DSL,Month-to-month,Mailed check,119.29,5606.63,No
CUST00184,Female,0,Yes,Yes,68,No,No,Month-to-month,Credit card,59.31,4033.08,No
CUST00185,Female,1,Yes,Yes,29,Yes,DSL,Month-to-month,Mailed check,44.75,1297.75,Yes
CUST00186,Male,0,Yes,Yes,8,Yes,DSL,Month-to-month,Mailed check,30.09,240.72,No
CUST00187,Male,1,No,Yes,64,Yes,Fiber optic,Month-to-month,Bank transfer,119.35,7638.4,No
CUST00188,Female,0,No,No,35,No,No,Two year,Bank transfer,26.1,913.5,Yes
CUST00189,Female,0,No,Yes,53,Yes,Fiber optic,Month-to-month,Electronic check,60.83,3223.99,No
CUST00190,Female,0,No,Yes,71,Yes,Fiber optic,Month-to-month,Bank transfer,61.27,4350.17,No
CUST00191,Male,0,No,No,11,Yes,DSL,Two year,Mailed check,73.56,809.16,No
CUST00192,Male,1,Yes,Yes,61,No,DSL,Two year,Mailed check,40.89,2494.29,No
CUST00193,Female,1,No,No,50,No,Fiber optic,Month-to-month,Bank transfer,111.51,5575.5,No
CUST00194,Female,1,No,Yes,65,Yes,No,Month-to-month,Mailed check,108.28,7038.2,No
CUST00195,Male,1,No,Yes,18,No,No,Month-to-month,Mailed check,21.62,389.16,No
CUST00196,Female,1,No,No,63,No,DSL,Two year,Bank transfer,75.06,4728.78,No
CUST00197,Male,0,Yes,Yes,21,Yes,DSL,Month-to-month,Credit card,34.0,714.0,No
CUST00198,Female,0,Yes,Yes,17,Yes,No,Month-to-month,Credit card,104.25,1772.25,Yes
CUST00199,Female,1,Yes,Yes,62,No,DSL,Month-to-month,Credit card,21.57,1337.34,No
CUST00200,Female,0,Yes,Yes,22,No,Fiber optic,Month-to-month,Credit card,30.7,675.4,No
CUST00201,Male,0,Yes,No,10,Yes,DSL,Month-to-month,Credit card,57.31,573.1,No
CUST00202,Female,0,Yes,Yes,48,No,No,Month-to-month,Electronic check,57.72,2770.56,No
CUST00203,Female,1,No,Yes,67,Yes,DSL,Month-to-month,Bank transfer,111.92,7498.64,No
CUST00204,Male,1,Yes,No,2,No,No,Month-to-month,Bank transfer,116.15,232.3,Yes
CUST00205,Male,0,No,Yes,49,Yes,Fiber optic,Month-to-month,Credit card,95.56,4682.44,Yes
CUST00206,Female,1,No,Yes,41,No,DSL,Month-to-month,Credit card,22.96,941.36,No
CUST00207,Female,0,Yes,Yes,10,Yes,No,Month-to-month,Credit card,97.22,972.2,Yes
CUST00208,Male,1,No,No,40,Yes,DSL,Month-to-month,Mailed check,56.07,2242.8,No
CUST00209,Male,1,Yes,Yes,55,No,Fiber optic,Month-to-month,Electronic check,64.88,3568.4,Yes
CUST00210,Female,0,Yes,No,37,No,Fiber optic,One year,Credit card,61.38,2271.06,No
CUST00211,Female,1,No,No,18,No,DSL,Month-to-month,Credit card,26.33,473.94,No
CUST00212,Female,0,No,No,25,No,Fiber optic,Month-to-month,Bank transfer,65.79,1644.75,No
CUST00213,Male,0,No,No,55,No,Fiber optic,Two year,Mailed check,101.55,5585.25,No
CUST00214,Female,1,Yes,No,50,No,DSL,Month-to-month,Mailed check,116.87,5843.5,No
CUST00215,Female,0,No,Yes,69,Yes,Fiber optic,One year,Credit card,37.99,2621.31,No
CUST00216,Female,0,No,No,17,No,No,Month-to-month,Credit card,83.33,1416.61,Yes
CUST00217,Female,0,Yes,Yes,69,Yes,No,Two year,Electronic check,23.68,1633.92,No
CUST00218,Male,1,No,No,72,No,DSL,One year,Mailed check,118.36,8521.92,Yes
CUST00219,Female,0,No,Yes,57,No,DSL,Month-to-month,Electronic check,57.41,3272.37,No
CUST00220,Female,0,No,No,18,No,Fiber optic,Month-to-month,Electronic check,54.83,986.94,No
CUST00221,Male,0,No,Yes,38,Yes,No,One year,Mailed check,24.47,929.86,No
CUST00222,Male,1,Yes,No,70,No,Fiber optic,Month-to-month,Electronic check,36.01,2520.7,No
CUST00223,Male,0,Yes,Yes,25,Yes,No,Month-to-month,Mailed check,64.96,1624.0,No
CUST00224,Female,1,No,No,46,Yes,Fiber optic,Month-to-month,Bank transfer,52.6,2419.6,No
CUST00225,Male,1,Yes,Yes,58,No,DSL,Two year,Mailed check,81.74,4740.92,No
CUST00226,Female,1,Yes,No,47,Yes,No,Month-to-month,Mailed check,89.34,4198.98,No
CUST00227,Female,1,Yes,No,62,Yes,DSL,Month-to-month,Credit card,48.88,3030.56,No
CUST00228,Male,1,No,No,71,Yes,DSL,Month-to-month,Bank transfer,70.54,5008.34,No
CUST00229,Male,0,No,No,4,Yes,Fiber optic,Month-to-month,Bank transfer,47.49,189.96,No
CUST00230,Male,1,Yes,No,69,No,DSL,Month-to-month,Credit card,102.26,7055.94,Yes
CUST00231,Female,1,Yes,Yes,33,No,DSL,Two year,Mailed check,54.86,1810.38,No
CUST00232,Female,1,No,Yes,26,No,No,Two year,Bank transfer,101.35,2635.1,No
CUST00233,Female,0,Yes,No,65,Yes,No,One year,Mailed check,118.55,7705.75,No
CUST00234,Female,0,No,No,31,No,Fiber optic,Month-to-month,Credit card,34.62,1073.22,No
CUST00235,Female,0,No,No,9,No,Fiber optic,Two year,Bank transfer,83.36,750.24,No
CUST00236,Female,0,No,No,0,Yes,Fiber optic,Two year,Mailed check,106.89,106.89,No
CUST00237,Male,1,Yes,No,63,Yes,DSL,Two year,Credit card,46.85,2951.55,No
CUST00238,Female,1,No,Yes,2,Yes,No,Two year,Mailed check,32.42,64.84,No
CUST00239,Female,1,Yes,No,38,Yes,DSL,Two year,Credit card,35.9,1364.2,No
CUST00240,Female,1,Yes,Yes,39,Yes,DSL,One year,Mailed check,92.6,3611.4,Yes
CUST00241,Female,1,Yes,No,66,Yes,DSL,Month-to-month,Credit card,88.0,5808.0,No
CUST00242,Male,1,No,No,11,Yes,DSL,Month-to-month,Electronic check,93.08,1023.88,Yes
CUST00243,Male,0,No,No,21,Yes,DSL,One year,Electronic check,64.01,1344.21,No
CUST00244,Male,0,Yes,No,49,No,No,Month-to-month,Electronic check,55.15,2702.35,No
CUST00245,Male,0,No,No,38,No,Fiber optic,One year,Electronic check,40.54,1540.52,No
CUST00246,Female,0,No,No,30,No,No,Month-to-month,Mailed check,69.96,2098.8,No
CUST00247,Male,0,Yes,Yes,60,Yes,Fiber optic,One year,Bank transfer,115.45,6927.0,No
CUST00248,Female,1,Yes,Yes,64,Yes,No,Month-to-month,Mailed check,96.71,6189.44,No
CUST00249,Male,0,No,No,19,Yes,DSL,Month-to-month,Electronic check,73.64,1399.16,No
CUST00250,Male,0,No,Yes,55,Yes,DSL,One year,Credit card,31.6,1738.0,Yes
CUST00251,Female,1,Yes,No,44,Yes,DSL,One year,Bank transfer,72.3,3181.2,No
CUST00252,Male,0,No,No,54,No,No,Month-to-month,Mailed check,47.2,2548.8,No
CUST00253,Male,0,Yes,Yes,47,Yes,DSL,One year,Credit card,35.73,1679.31,Yes
CUST00254,Female,0,No,Yes,46,No,Fiber optic,Month-to-month,Electronic check,58.3,2681.8,No
CUST00255,Male,0,Yes,Yes,47,No,DSL,One year,Credit card,31.94,1501.18,No
CUST00256,Female,0,No,Yes,36,No,No,Month-to-month,Mailed check,97.35,3504.6,No
CUST00257,Female,0,Yes,Yes,59,Yes,DSL,Two year,Bank transfer,56.83,3352.97,Yes
CUST00258,Male,1,No,Yes,1,No,Fiber optic,Month-to-month,Electronic check,115.1,115.1,Yes
CUST00259,Male,0,No,No,18,Yes,No,Month-to-month,Mailed check,91.17,1641.06,No
CUST00260,Female,1,Yes,Yes,50,No,No,Month-to-month,Bank transfer,27.48,1374.0,No
CUST00261,Male,0,Yes,Yes,40,No,Fiber optic,Month-to-month,Bank transfer,65.28,2611.2,No
CUST00262,Male,0,No,No,52,Yes,DSL,Month-to-month,Bank transfer,32.07,1667.64,No
CUST00263,Female,0,Yes,Yes,5,Yes,No,Two year,Bank transfer,41.5,207.5,No
CUST00264,Male,1,No,Yes,33,Yes,DSL,Month-to-month,Electronic check,102.01,3366.33,Yes
CUST00265,Male,0,Yes,No,7,No,DSL,Two year,Electronic check,103.04,721.28,No
CUST00266,Female,0,Yes,No,8,Yes,DSL,One year,Credit card,39.78,318.24,No
CUST00267,Male,1,Yes,No,50,No,Fiber optic,Month-to-month,Credit card,69.61,3480.5,No
CUST00268,Female,0,No,No,19,Yes,DSL,One year,Bank transfer,23.46,445.74,No
CUST00269,Female,0,Yes,No,49,No,No,Month-to-month,Credit card,33.72,1652.28,No
CUST00270,Male,1,No,Yes,44,Yes,Fiber optic,Month-to-month,Electronic check,111.27,4895.88,Yes
CUST00271,Male,0,Yes,Yes,60,No,No,One year,Electronic check,72.94,4376.4,No
CUST00272,Female,1,No,Yes,28,No,No,Two year,Electronic check,77.57,2171.96,No
CUST00273,Male,0,No,No,45,Yes,DSL,Month-to-month,Mailed check,114.76,5164.2,No
CUST00274,Male,1,Yes,Yes,28,No,DSL,Month-to-month,Electronic check,21.99,615.72,No
CUST00275,Female,0,No,Yes,18,Yes,Fiber optic,Two year,Bank transfer,78.66,1415.88,No
CUST00276,Female,1,No,No,41,Yes,No,Month-to-month,Mailed check,33.65,1379.65,No
CUST00277,Female,0,Yes,Yes,48,Yes,DSL,One year,Bank transfer,50.68,2432.64,No
CUST00278,Male,1,Yes,No,28,No,Fiber optic,Month-to-month,Mailed check,83.96,2350.88,No
CUST00279,Male,1,No,Yes,11,Yes,Fiber optic,One year,Bank transfer,102.17,1123.87,No
CUST00280,Female,1,No,Yes,13,No,No,Month-to-month,Credit card,92.04,1196.52,No
CUST00281,Male,0,Yes,No,12,No,DSL,One year,Bank transfer,102.88,1234.56,Yes
CUST00282,Male,0,No,Yes,33,No,No,Month-to-month,Credit card,115.17,3800.61,No
CUST00283,Male,1,Yes,Yes,3,Yes,Fiber optic,One year,Bank transfer,63.13,189.39,Yes
CUST00284,Male,1,No,Yes,36,No,DSL,Month-to-month,Bank transfer,49.74,1790.64,Yes
